Fund Holdings as of,"30/Aug/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Equity","5.81","21.77","51,151,000.00","1,113,518,701.76","1,113,518,701.76","Information Technology","TW0002330008","Taiwan Stock Exchange","Taiwan","TWD"
"700","TENCENT HOLDINGS LTD","Equity","3.73","59.82","11,953,540.00","715,110,668.56","715,110,668.56","Communication","KYG875721634","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"9988","ALIBABA GROUP HOLDING LTD","Equity","3.34","20.32","31,461,548.00","639,239,790.35","639,239,790.35","Consumer Discretionary","KYG017191142","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"005930","SAMSUNG ELECTRONICS LTD","Equity","3.31","63.93","9,916,800.00","634,008,895.74","634,008,895.74","Information Technology","KR7005930003","Korea Exchange (Stock Market)","Korea (South)","KRW"
"3690","MEITUAN","Equity","1.15","29.33","7,495,500.00","219,874,032.74","219,874,032.74","Consumer Discretionary","KYG596691041","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Equity","0.94","30.98","5,823,853.00","180,433,428.18","180,433,428.18","Energy","INE002A01018","National Stock Exchange Of India","India","INR"
"INFY","INFOSYS LTD","Equity","0.86","23.17","7,113,479.00","164,841,075.65","164,841,075.65","Information Technology","INE009A01021","National Stock Exchange Of India","India","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Equity","0.75","0.72","199,687,000.00","143,107,114.56","143,107,114.56","Financials","CNE1000002H1","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"VALE3","CIA VALE DO RIO DOCE SH","Equity","0.74","19.30","7,323,309.00","141,328,626.63","141,328,626.63","Materials","BRVALEACNOR0","XBSP","Brazil","BRL"
"JD","JD.COM ADR REPRESENTING INC","Equity","0.72","76.69","1,806,857.00","138,567,863.33","138,567,863.33","Consumer Discretionary","US47215P1066","NASDAQ","China","USD"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Equity","0.69","37.61","3,540,118.00","133,132,039.87","133,132,039.87","Financials","INE001A01036","National Stock Exchange Of India","India","INR"
"2269","WUXI BIOLOGICS CAYMAN INC","Equity","0.57","15.39","7,037,865.00","108,286,666.32","108,286,666.32","Health Care","KYG970081173","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Equity","0.55","8.07","13,054,758.00","105,294,504.01","105,294,504.01","Financials","CNE1000003X6","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"ICICIBANK","ICICI BANK LTD","Equity","0.54","9.74","10,598,807.00","103,222,688.40","103,222,688.40","Financials","INE090A01021","National Stock Exchange Of India","India","INR"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Equity","0.54","59.73","1,725,668.00","103,080,138.49","103,080,138.49","Information Technology","KR7005931001","Korea Exchange (Stock Market)","Korea (South)","KRW"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Equity","0.53","37.80","2,709,723.00","102,427,529.40","102,427,529.40","Consumer Discretionary","US62914V1061","New York Stock Exchange Inc.","China","USD"
"2317","HON HAI PRECISION INDUSTRY LTD","Equity","0.53","3.92","26,093,624.00","102,340,824.21","102,340,824.21","Information Technology","TW0002317005","Taiwan Stock Exchange","Taiwan","TWD"
"2454","MEDIATEK INC","Equity","0.53","32.82","3,118,000.00","102,319,630.10","102,319,630.10","Information Technology","TW0002454006","Taiwan Stock Exchange","Taiwan","TWD"
