Fund Holdings as of,"30/Aug/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"AAPL","APPLE INC","Equity","4.24","153.12","12,198,797.00","1,867,879,796.64","1,867,879,796.64","Information Technology","US0378331005","NASDAQ","United States","USD"
"MSFT","MICROSOFT CORP","Equity","3.59","303.59","5,203,197.00","1,579,638,577.23","1,579,638,577.23","Information Technology","US5949181045","NASDAQ","United States","USD"
"AMZN","AMAZON COM INC","Equity","2.42","3,421.57","311,314.00","1,065,182,642.98","1,065,182,642.98","Consumer Discretionary","US0231351067","NASDAQ","United States","USD"
"FB","FACEBOOK CLASS A INC","Equity","1.51","380.66","1,748,940.00","665,751,500.40","665,751,500.40","Communication","US30303M1027","NASDAQ","United States","USD"
"GOOGL","ALPHABET INC CLASS A","Equity","1.44","2,891.81","218,558.00","632,028,209.98","632,028,209.98","Communication","US02079K3059","NASDAQ","United States","USD"
"GOOG","ALPHABET INC CLASS C","Equity","1.41","2,909.39","213,973.00","622,530,906.47","622,530,906.47","Communication","US02079K1079","NASDAQ","United States","USD"
"NVDA","NVIDIA CORP","Equity","0.93","226.88","1,799,148.00","408,190,698.24","408,190,698.24","Information Technology","US67066G1040","NASDAQ","United States","USD"
"TSLA","TESLA INC","Equity","0.93","730.91","557,510.00","407,489,634.10","407,489,634.10","Consumer Discretionary","US88160R1014","NASDAQ","United States","USD"
"JPM","JPMORGAN CHASE & CO","Equity","0.81","160.44","2,219,374.00","356,076,364.56","356,076,364.56","Financials","US46625H1005","New York Stock Exchange Inc.","United States","USD"
"JNJ","JOHNSON & JOHNSON","Equity","0.75","173.66","1,912,467.00","332,119,019.22","332,119,019.22","Health Care","US4781601046","New York Stock Exchange Inc.","United States","USD"
"UNH","UNITEDHEALTH GROUP INC","Equity","0.66","418.30","690,333.00","288,766,293.90","288,766,293.90","Health Care","US91324P1021","New York Stock Exchange Inc.","United States","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.64","285.66","994,129.00","283,982,890.14","283,982,890.14","Financials","US0846707026","New York Stock Exchange Inc.","United States","USD"
"V","VISA INC CLASS A","Equity","0.64","231.23","1,222,620.00","282,706,422.60","282,706,422.60","Information Technology","US92826C8394","New York Stock Exchange Inc.","United States","USD"
"NESN","NESTLE SA","Equity","0.61","127.70","2,098,224.00","267,944,155.36","267,944,155.36","Consumer Staples","CH0038863350","SIX Swiss Exchange","Switzerland","CHF"
"HD","HOME DEPOT INC","Equity","0.58","327.10","783,001.00","256,119,627.10","256,119,627.10","Consumer Discretionary","US4370761029","New York Stock Exchange Inc.","United States","USD"
"ASML","ASML HOLDING NV","Equity","0.58","837.26","305,503.00","255,784,537.49","255,784,537.49","Information Technology","NL0010273215","Euronext Amsterdam","Netherlands","EUR"
"PG","PROCTER & GAMBLE","Equity","0.58","142.93","1,780,201.00","254,444,128.93","254,444,128.93","Consumer Staples","US7427181091","New York Stock Exchange Inc.","United States","USD"
"DIS","WALT DISNEY","Equity","0.54","179.98","1,315,444.00","236,753,611.12","236,753,611.12","Communication","US2546871060","New York Stock Exchange Inc.","United States","USD"
"BAC","BANK OF AMERICA CORP","Equity","0.54","41.66","5,667,291.00","236,099,343.06","236,099,343.06","Financials","US0605051046","New York Stock Exchange Inc.","United States","USD"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.53","288.47","807,494.00","232,937,794.18","232,937,794.18","Information Technology","US70450Y1038","NASDAQ","United States","USD"
"ADBE","ADOBE INC","Equity","0.53","665.99","349,101.00","232,497,774.99","232,497,774.99","Information Technology","US00724F1012","NASDAQ","United States","USD"
